Timestamp,CarRoll,CarPitch,CarYaw,RollGrad,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,PitchRate,RollRate,YawRate,qw,qx,qy,qz,ShockPot1,ShockPot2,BrakePressure
1970-01-01 00:00:10.920,-155.05,-87.37,144.87,199.70,1.32,-0.44,-9.90,1.63,-0.44,1.59,-2.80,7.39,-2.69,0.64,-0.77,-0.01,0.02,61.23,0.73,215
1970-01-01 00:00:10.990,-152.00,-87.81,142.51,-86.46,-2.93,1.02,-6.60,1.63,1.02,1.59,1.57,-2.24,1.57,0.65,-0.76,-0.00,0.02,61.17,0.67,213
1970-01-01 00:00:11.061,-152.99,-87.90,142.74,-216.36,2.43,0.41,-9.40,5.71,0.41,-4.36,0.45,-9.18,12.42,0.64,-0.77,-0.00,0.02,61.29,0.67,218
1970-01-01 00:00:11.130,-149.71,-88.00,139.83,102.41,-0.17,-0.86,-10.63,5.71,-0.86,-4.36,-0.22,-8.62,12.65,0.64,-0.77,-0.00,0.02,61.29,0.67,211
1970-01-01 00:00:11.201,-149.46,-87.89,139.33,97.83,-2.01,-0.90,-7.87,5.71,-0.90,-4.36,-1.68,4.36,11.30,0.64,-0.77,-0.00,0.02,61.36,0.73,207
1970-01-01 00:00:11.271,-150.81,-87.89,140.79,75.25,-4.35,-1.17,-7.10,5.71,-1.17,-4.36,-1.23,3.47,9.96,0.64,-0.77,-0.00,0.02,61.36,0.61,206
1970-01-01 00:00:11.361,-151.24,-87.93,140.56,73.08,-1.66,-1.20,-13.73,-2.32,-1.20,2.29,-1.79,20.70,15.33,0.64,-0.77,-0.00,0.02,61.29,0.67,206
1970-01-01 00:00:11.421,-151.24,-87.93,140.56,47.39,-2.62,-1.86,-8.94,-2.32,-1.86,2.29,-2.57,-18.13,9.18,0.64,-0.77,-0.00,0.02,61.29,0.67,206
1970-01-01 00:00:11.490,-151.68,-87.89,140.44,-66.37,-1.39,1.32,-9.70,-2.32,1.32,2.29,1.79,1.34,-12.87,0.63,-0.77,-0.00,0.02,61.23,0.73,206
1970-01-01 00:00:11.570,-152.79,-87.77,141.66,117.64,-0.67,-0.75,-7.91,0.85,-0.75,1.44,-1.68,-22.72,-20.03,0.64,-0.77,-0.00,0.02,61.29,0.55,215
1970-01-01 00:00:11.630,-152.79,-87.77,141.66,107.00,1.63,-0.82,-13.77,0.85,-0.82,1.44,0.00,-1.68,11.97,0.64,-0.77,-0.00,0.02,61.23,0.67,203
1970-01-01 00:00:11.700,-151.50,-87.88,140.40,271.04,-2.16,-0.32,-6.87,0.03,-0.32,-1.03,1.23,-0.22,-6.60,0.64,-0.77,-0.00,0.02,61.36,0.73,204
1970-01-01 00:00:11.771,-151.17,-87.92,140.16,107.18,-2.36,-0.82,-8.74,1.52,-0.82,-2.56,1.79,-2.80,-6.60,0.64,-0.77,-0.00,0.02,61.23,0.67,202
1970-01-01 00:00:11.841,-151.35,-87.83,140.37,270.89,-1.66,-0.32,-13.65,-0.24,-0.32,0.81,0.56,-5.04,0.90,0.64,-0.77,-0.00,0.02,61.23,0.73,192
1970-01-01 00:00:11.911,-150.80,-87.88,140.18,241.92,-3.12,-0.36,-8.56,-0.24,-0.36,0.81,-0.78,-11.19,6.83,0.64,-0.77,-0.00,0.02,61.23,0.73,204
1970-01-01 00:00:11.981,-150.29,-87.99,139.37,-111.52,-0.71,0.79,-7.21,-0.30,0.79,-1.91,-0.67,0.90,8.17,0.64,-0.77,-0.00,0.02,61.17,0.73,208
1970-01-01 00:00:12.061,-149.96,-87.79,139.14,-182.71,-1.05,0.48,-9.90,-0.00,0.48,0.39,0.00,6.27,6.38,0.64,-0.77,-0.00,0.02,61.36,0.67,203
1970-01-01 00:00:12.132,-149.42,-87.91,138.58,-304.11,-1.66,0.29,-9.97,-0.00,0.29,0.39,1.01,17.79,-9.96,0.64,-0.77,-0.00,0.02,61.29,0.73,202
1970-01-01 00:00:12.202,-147.64,-87.74,137.26,97.66,-0.52,-0.90,-13.53,-0.00,-0.90,0.39,-0.34,-1.90,-4.03,0.64,-0.77,-0.00,0.02,61.29,0.67,201
1970-01-01 00:00:12.272,-146.24,-87.73,136.31,75.11,-1.93,-1.17,-7.53,-0.00,-1.17,0.39,0.34,7.39,5.26,0.64,-0.77,-0.00,0.02,61.36,0.61,196
