Timestamp,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,ShockPot1,ShockPot2,BrakePressure,qw,qx,qy,qz
21006578,0.76,-0.52,-9.98,0.03,0.12,-0.25,0.61,0.55,-341.45,0.04,-0.16,-0.99,0.02
21121578,0.68,-0.56,-9.68,0.11,0.13,-0.22,0.61,0.55,-341.45,0.04,-0.16,-0.99,0.02
21236908,0.68,-0.56,-10.09,-0.03,-0.05,-0.16,0.61,0.55,-341.45,0.04,-0.15,-0.99,0.02
21341578,0.57,-0.41,-10.06,-0.20,0.08,0.10,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.02
21457107,0.57,-0.37,-10.06,-0.01,0.07,0.07,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.02
21561578,0.61,-0.37,-9.98,-0.09,-0.13,0.01,0.61,0.55,-343.79,0.03,-0.15,-0.99,0.02
21686578,0.45,-0.29,-10.02,0.18,0.02,0.03,0.67,0.55,-341.45,0.03,-0.15,-0.99,0.01
21787028,0.45,-0.18,-9.94,-0.03,0.00,0.04,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.01
21897148,0.41,-0.18,-10.02,-0.13,0.01,0.03,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.01
22001578,0.41,-0.14,-9.98,-0.02,-0.02,0.04,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.01
22106578,0.37,-0.33,-9.82,-0.02,0.00,0.10,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.01
22217078,0.34,-0.25,-9.90,-0.06,-0.02,0.07,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.01
22316578,0.49,-0.22,-9.86,0.05,0.05,0.07,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.01
22431578,0.34,-0.22,-9.98,-0.12,0.01,-0.05,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.01
22546578,0.18,-0.18,-9.82,0.06,0.05,0.17,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.01
22641578,0.41,-0.71,-10.02,0.16,-0.29,-0.10,0.67,0.55,-341.45,0.02,-0.15,-0.99,0.02
22757084,0.34,-0.48,-9.94,0.00,-0.06,0.00,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.02
22856578,0.30,-0.37,-10.09,-0.05,0.07,-0.08,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.02
22966578,0.37,-0.33,-9.79,-0.02,-0.03,0.16,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.01
23077173,0.57,-0.25,-9.86,0.21,0.13,0.00,0.61,0.55,-341.45,0.02,-0.15,-0.99,0.01
23186578,0.80,-0.56,-10.56,0.51,-0.64,0.34,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.02
23296578,0.76,-0.68,-10.13,0.09,-0.18,-0.17,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.02
23406578,0.53,-0.18,-9.71,-0.14,0.04,0.17,0.61,0.55,-341.45,0.04,-0.15,-0.99,0.01
23521578,0.18,-0.10,-10.60,0.51,-0.28,-0.12,0.61,0.55,-341.45,0.03,-0.15,-0.99,0.01
23646578,0.34,0.05,-10.17,0.15,-0.33,0.00,0.61,0.55,-341.45,0.02,-0.15,-0.99,-0.01
23761578,0.49,1.20,-9.71,0.09,0.16,0.20,0.61,0.55,-341.45,0.01,-0.15,-0.99,-0.05
23877282,0.57,1.96,-9.41,-0.03,-0.06,0.34,0.61,0.61,-341.45,0.01,-0.15,-0.99,-0.06
23977608,0.57,2.81,-9.67,0.07,-0.06,-0.29,0.61,0.55,-341.45,0.01,-0.15,-0.98,-0.13
24086578,0.64,3.34,-9.52,-0.05,-0.07,-0.14,0.61,0.55,-341.45,0.01,-0.14,-0.97,-0.18
24196578,0.68,4.00,-9.41,0.01,-0.05,-0.43,0.61,0.55,-341.45,0.01,-0.14,-0.97,-0.20
24317168,0.84,4.69,-9.06,0.03,-0.10,-0.42,0.61,0.55,-341.45,0.00,-0.14,-0.96,-0.24
24411578,0.76,5.41,-8.75,-0.37,-0.19,-0.96,0.61,0.55,-341.45,0.00,0.13,0.95,0.28
24536578,0.64,5.99,-7.68,-0.16,-0.11,-0.04,0.61,0.55,-341.45,0.01,0.13,0.93,0.34
