Timestamp,ax,ay,az,qw,qx,qy,qz
18457011,-0.16,-0.03,9.55,0.12,-0.01,0.00,0.99
18532011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
18617491,-0.16,-0.06,9.55,0.12,-0.01,0.00,0.99
18687011,-0.16,-0.03,9.60,0.12,-0.01,0.00,0.99
18777011,-0.20,0.01,9.48,0.12,-0.01,0.00,0.99
18852011,-0.16,0.01,9.59,0.12,-0.01,0.00,0.99
18932011,-0.20,-0.03,9.56,0.12,-0.01,0.00,0.99
19017308,-0.20,-0.06,9.56,0.12,-0.01,0.00,0.99
19092011,-0.16,-0.03,9.64,0.11,-0.01,0.00,0.99
19177011,-0.09,0.24,9.48,0.11,-0.01,0.00,0.99
19247011,-0.05,-0.29,9.37,0.12,-0.01,-0.00,0.99
19322011,-0.09,0.28,9.75,0.11,-0.01,0.00,0.99
19407011,-0.28,0.39,9.64,0.11,-0.01,0.00,0.99
19487011,-0.43,-0.60,8.79,0.12,-0.02,-0.01,0.99
19562011,-0.39,-0.18,9.75,0.12,-0.02,-0.01,0.99
19642011,-0.35,-0.10,9.37,0.12,-0.02,-0.01,0.99
19722011,-0.43,-0.37,9.59,0.12,-0.02,-0.01,0.99
19797011,-0.35,-0.79,9.75,0.12,-0.02,-0.02,0.99
19877011,-0.16,-0.45,8.45,0.11,-0.02,-0.02,0.99
19957011,0.53,-1.14,10.44,0.11,-0.01,-0.05,0.99
20037011,-0.20,-1.02,9.67,0.10,-0.00,-0.07,0.99
20112040,-0.20,-1.44,8.33,0.11,-0.00,-0.11,0.99
20182011,1.18,-2.90,9.56,0.12,0.00,-0.16,0.98
20252011,0.45,-3.93,9.17,0.12,0.00,-0.19,0.97
20322011,0.64,-4.09,8.79,0.12,0.00,-0.21,0.97
20402011,0.30,-4.66,8.48,0.12,-0.00,-0.24,0.96
20482011,0.61,-5.27,7.95,0.12,-0.01,-0.27,0.95
20552011,0.07,-5.39,6.15,0.12,-0.01,-0.31,0.94
20627011,0.34,-6.00,7.10,0.12,-0.01,-0.34,0.93
20697011,0.41,-6.54,6.99,0.12,-0.01,-0.36,0.93
